# ZPE values from Table S6 of Bakowies2021
# Columns CCSDT and ATOMIC-2-um
"System","Ref","Calc","uCalc"
"CFN",6.11,6.22,0.32
"CFN",4.95,5.12,0.26
"CFNO",8.17,8.03,0.51
"CFNO",7.48,7.58,0.48
"CFNO",8.11,8.18,0.52
"CFNO",8.2,8.24,0.52
"CFNO",6.67,6.77,0.43
"CF2",4.36,4.23,0.22
"CF2O",8.83,8.53,0.54
"CHF",7.68,7.68,0.14
"CHFO",12.99,12.82,0.41
"CHF3",15.97,15.46,0.66
"CHN",9.86,10.08,0.19
"CHN",9.61,9.66,0.18
"CHNO",13.24,13.25,0.43
"CHNO",11.84,12.21,0.39
"CHNO",13.14,13.14,0.42
"CHNO",12.53,12.57,0.4
"CHNO",12.26,12.2,0.39
"CHN3O",19.79,19.61,1.01
"CH2",10.3,10.3,0.08
"CH2FNO",23.16,22.94,0.74
"CH2F2",20.57,20.24,0.47
"CH2N2",20.56,20.66,0.48
"CH2N2",21.12,21.16,0.49
"CH2N2",19.46,19.5,0.46
"CH2N4",28.97,28.87,1.14
"CH2O",16.53,16.46,0.23
"CH2O",16.59,16.67,0.23
"CH2O2",20.19,20.14,0.47
"CH2O2",21.05,20.94,0.49
"CH2O3",23.23,22.92,0.74
"CH3F",24.46,24.31,0.29
"CH3N",24.7,24.74,0.3
"CH3NO",27.55,27.62,0.52
"CH3NO",28.17,28.12,0.53
"CH3NO",27.92,28,0.52
"CH4",27.75,27.75,0.23
"CH4O",31.92,31.85,0.34
"CH5N3",47.28,47.28,0.88
"CO",3.04,3.1,0.1
"CO2",7.14,7.14,0.37
"C2F2",8.11,8.44,0.27
"C2HF",12.35,12.64,0.18
"C2H2",16.32,16.48,0.13
"C2H2F2",22.79,22.62,0.42
"C2H2O",19.48,19.56,0.23
"C2H2O",17.8,17.83,0.21
"C2H2O2",22.92,22.81,0.43
"C2H3F",27.23,27.21,0.29
"C2H3N",27.73,27.85,0.3
"C2H3N",27.96,28.1,0.3
"C2H3N",27.95,28.02,0.3
"C2H4",31.46,31.51,0.26
"C2H5N",42.22,42.2,0.41
"C2H5N",42.42,42.48,0.41
"C2H5N",42.68,42.78,0.41
"C2N2",9.69,10.13,0.33
"C3H3NO",35.78,35.94,0.51
"C4H2",22.57,22.93,0.19
"FH",5.89,5.61,0.18
"FHO",8.61,8.5,0.44
"FHO2",11.16,11.03,0.7
"FH2N",17.13,17.09,0.55
"FH3N2",28.27,28.11,0.9
"FNO",4.52,4.42,0.48
"FNO2",6.51,6.26,0.68
"FNO2",6.42,6.35,0.69
"FN3",7.84,7.67,0.84
"F2",1.3,1.35,0.15
"F2N2",7.28,7.08,0.77
"F2N2",7.11,6.95,0.76
"F2O",3.23,3.21,0.35
"F2O2",5.04,5.17,0.56
"F3N",6.52,6.16,0.67
"F3NO",8.29,7.94,0.87
"F3NO",9.67,9.29,1.01
"HNO",8.57,8.51,0.44
"HNO2",12.54,12.4,0.78
"HNO2",13.59,13.45,0.85
"HNO2",12.53,12.42,0.79
"HNO3",16.44,16.14,1.15
"HN3",13.14,12.92,0.82
"H2",6.22,6.15,0.05
"H2N2",16.71,16.52,0.53
"H2N2",17.53,17.54,0.56
"H2N2O",20.23,19.92,0.86
"H2O",13.34,13.24,0.25
"H2O2",16.45,16.39,0.53
"H2O2",16.36,16.39,0.53
"H2O3",18.81,18.81,0.81
"H3N",21.37,21.57,0.3
"H3NO",25.41,25.08,0.59
"H3NO",25.07,25.18,0.59
"H3N3",28.73,28.58,0.92
"H4N2",33.22,33.37,0.62
"N2",3.31,3.25,0.36
"N2O",6.75,6.63,0.72
"O3",4.12,4.45,0.49
