"System","E","uE"
"Hydrogen","2.85377","5.59804441714927"
"Methane","-0.622710000000001","0.160004687527038"
"Ethane","-0.195060000000002","0.0804670127638836"
"Ethylene","-0.105040000000001","0.107491333659129"
"Acetylene","-0.0470299999999995","0.0644795058423486"
"Propane","-0.0594499999999982","0.0597893309929348"
"Propene ecl","-0.18283","0.126559572950862"
"Propyne","-0.131749999999997","0.086683817005096"
"Allene","0.489310000000003","0.146759578459256"
"n-Butane","0.000740000000000407","0.126322083276757"
"Isobutane","-0.149920000000002","0.12307696666411"
"1-Butene","-0.26422","0.100647858171469"
"trans-2-Butene","-0.4033","0.199092586923854"
"cis-2-Butene","-0.34795","0.227067498208396"
"Isobutene","-0.6937","0.11424315484836"
"1,2-Butadiene","-0.560639999999999","0.222519236028146"
"1,3-s-tr-Butadiene","-0.44415","0.12661319415603"
"1-Butyne","-0.308979999999998","0.0736441476678414"
"2-Butyne","-0.560510000000001","0.161431039699146"
"Vinylacetylene","3.93563","0.05500698106264"
"Butatriene","4.83354","0.818364839075464"
"n-Pentane","0.0715399999999988","0.251104942893319"
"Neopentane         ","-0.407380000000003","0.34342521737349"
"n-Hexane","0.465490000000003","0.333134062977691"
"tr-1,3-Pentadiene","-0.96677","0.14594553141553"
"cis-1,3-Pentadiene","-1.13709","0.14841646020087"
"1,4-Pentadiene","-2.09193","0.228807467936487"
"Cyclopropane","-0.386790000000001","0.116212623151434"
"cis-Dimethylcyclopropane","0.63472","0.158933913266935"
"Cyclopropene","1.14745000000001","1.34678263556883"
"1-Methylcyclopropene","3.02912000000001","0.762870470679402"
"1,2-Dimethylcyclopropene","0.504709999999996","0.956931359510073"
"Methylenecyclopropane","2.01703","0.794629560761723"
"Cyclobutane","0.25038","0.223730042763937"
"Cyclobutene plan","-2.30204","0.833537173606541"
"1,2-Dimethylcyclobutene","-0.561109999999999","1.00846849641974"
"Methylenecyclobutane","-0.0945600000000013","0.320836533511514"
"Cyclopentane envelope","-0.015900000000002","0.184731628613427"
"Cyclopentene","-0.0206600000000012","0.131533328854345"
"Cyclopentadiene","0.11861","0.162242585847988"
"Cyclohexane chair   (AMP)","0.11561","0.338623081668345"
"Cyclohexene half-chair","0.00727000000000011","0.208311018530201"
"1,3-Cyclohexadiene","-0.30583","0.107934499717267"
"Benzene","-0.53295","0.135257437735572"
"Toluene ecl","-0.45627","0.106526059456599"
"Ethylbenzene stag          ","0.227469999999999","0.122317721242845"
"Styrene","-0.31794","0.126980200786903"
"Cycloheptatriene","-1.88646","0.282178691901961"
"Bicyclobutane","-4.03905","2.04159671218878"
"Spirocyclopentane","0.382569999999994","1.46581065272493"
"trans-Bicyclopropyl","-1.54818","0.136446094139955"
"Bicyclo[2.1.0]pentane","-0.291070000000005","0.289289426368481"
"Norbornane","1.09246","0.309643147566201"
"Norbornadiene","1.75107999999999","0.21494458718623"
"Bicyclo[2.2.2]octane","-0.415749999999999","0.409291576566409"
"Naphthalene","0.000630000000001019","0.180464351437295"
"Adamantane","0.894179999999999","0.570242232341006"
"Cubane","2.88321999999999","1.69967476390771"
"Nitrogen","0.212","0.0261802461489441"
"Ammonia","0.124470000000001","0.043297807729966"
"Methylamine","-0.38104","0.0592436766538157"
"Dimethylamine","-0.47849","0.0750701753096682"
"Trimethylamine","0.234929999999999","0.0999894738268411"
"Ethylamine","0.762749999999999","0.0766946179549705"
"n-Propylamine","0.44989","0.175289209704747"
"Isopropylamine","0.645199999999999","0.181054749251406"
"tert-Butylamine","0.22775","0.255090113305249"
"Aziridine","-0.000289999999999679","0.0862438908495332"
"Pyrrole","0.161619999999999","0.126428827915145"
"Pyridine","-0.0552999999999955","0.111660690174837"
"Pyridazine (1,2)","-0.495500000000007","0.162541447165465"
"Pyrimidine (1,3)","2.35486","0.111156243261096"
"Pyrazine (1,4)","-1.81366","0.124397201823128"
"Aniline","0.29505","0.13127729968539"
"Hydrogen cyanide","1.67054","0.0607030772812647"
"Acetonitrile","0.464549999999999","0.0771758403512203"
"Methylisocyanide","-0.165089999999999","3.80551764082349"
"Propionitrile","-0.785879999999999","0.101865926063993"
"Acrylonitrile","-1.3541","0.064075852602831"
"Fumaronitrile","0.712249999999997","0.127223669190408"
"Maleonitrile","0.340459999999993","0.103662318461341"
"Dicyanoacetylene","-0.805610000000001","0.0508569185623508"
"Cyanogen","-0.164079999999998","0.0495112563070736"
"Benzonitrile","0.173210000000005","0.138950953322927"
"Hydrazine","0.0389100000000013","0.119332843568556"
"Methylhydrazine","-0.104419999999998","0.269857181708649"
"1,1-Dimethylhydrazine","0.641000000000002","0.395294037743235"
"1,2-Dimethylhydrazine","-0.496390000000002","0.277802669280412"
"trans-Azodiisopropane","-1.46293","2.56937144568622"
"Hydrogen azide","0.612970000000004","0.150658431209504"
"Ozone             ","-4.61732","0.123622433337406"
"Water","0.520890000000001","0.0569900823226253"
"Methanol","0.170089999999995","0.129256116911757"
"Ethanol","0.441209999999998","0.104345369699502"
"Propanol","0.4221","0.102842635023492"
"Isopropanol","0.299019999999999","0.123728978231117"
"tert-Butanol","0.443489999999997","0.221034159585746"
"Dimethylether","0.21875","0.0695007662537521"
"Diethylether","0.204570000000004","0.189340919608659"
"Oxirane","0.18901","0.0474840777920582"
"Furan","0.0584299999999995","0.0740454171981932"
"Phenol","-0.886030000000002","0.129985597602324"
