"System","E","uE"
"Hydrogen","23.09743","4.42539445147756"
"Methane","-0.263999999999999","0.420022858412136"
"Ethane","-0.68224","0.318493305171861"
"Ethylene","-0.30532","0.639117830081579"
"Acetylene","1.25857","0.357298477329066"
"Propane","-0.321940000000001","0.287023667056615"
"Propene ecl","-0.74819","0.283120229616825"
"Propyne","0.482120000000002","0.559756959764867"
"Allene","-1.06522","1.44113254772555"
"n-Butane","0.105810000000002","0.762021329935129"
"Isobutane","0.14235","0.648200684268076"
"1-Butene","-0.60472","0.362566416837013"
"trans-2-Butene","-0.70035","0.306077347866166"
"cis-2-Butene","-1.72149","0.697676045958383"
"Isobutene","-1.77823","0.445496914046323"
"1,2-Butadiene","-1.13241","1.48235987262955"
"1,3-s-tr-Butadiene","-0.917099999999998","0.464416508957584"
"1-Butyne","-0.262099999999997","0.354500113990786"
"2-Butyne","-0.000669999999999504","0.73209129966956"
"Vinylacetylene","4.43364","0.364722665982895"
"Butatriene","9.80618","2.40460353352732"
"n-Pentane","0.514400000000002","1.10752509485568"
"Neopentane         ","-0.13917","0.834643046037643"
"n-Hexane","1.25681","1.51045827785882"
"tr-1,3-Pentadiene","-1.1086","0.466469622915713"
"cis-1,3-Pentadiene","-1.81181","0.50781012177159"
"1,4-Pentadiene","-2.70249","0.637102581190414"
"Cyclopropane","0.771889999999999","0.573737928066694"
"cis-Dimethylcyclopropane","1.21053","0.687781003767942"
"Cyclopropene","0.720240000000004","2.28601232200583"
"1-Methylcyclopropene","3.34936","1.46108273715962"
"1,2-Dimethylcyclopropene","3.37081","2.95225733319942"
"Methylenecyclopropane","1.21076","1.42437562745898"
"Cyclobutane","0.6098","0.622434279196843"
"Cyclobutene plan","-2.50099","1.8589753249607"
"1,2-Dimethylcyclobutene","-2.96169","1.05950053905918"
"Methylenecyclobutane","1.28487","0.835235606653311"
"Cyclopentane envelope","0.16527","0.515136097547961"
"Cyclopentene","-0.321810000000001","0.570323456011301"
"Cyclopentadiene","0.58409","0.564666952705384"
"Cyclohexane chair   (AMP)","-1.67296","1.09865845374158"
"Cyclohexene half-chair","-0.858","0.889128693443665"
"1,3-Cyclohexadiene","0.391289999999998","0.709015381391101"
"Benzene","-0.58512","0.762878644585701"
"Toluene ecl","-0.44035","0.390755399803169"
"Ethylbenzene stag          ","0.16119","0.467295964459595"
"Styrene","-0.765180000000001","0.651999574389238"
"Cycloheptatriene","-4.73706","1.06493493423172"
"Bicyclobutane","1.56219","3.60402538235368"
"Spirocyclopentane","6.94811","3.76606692689632"
"trans-Bicyclopropyl","-0.38653","0.663799352687755"
"Bicyclo[2.1.0]pentane","1.87853999999999","0.331124547953606"
"Norbornane","1.62973","1.13398765649761"
"Norbornadiene","2.36801","0.773917903432754"
"Bicyclo[2.2.2]octane","-0.973009999999999","2.19707824896437"
"Naphthalene","0.561889999999998","0.631059635599011"
"Adamantane","1.55569999999999","1.85764923736189"
"Cubane","-2.20189000000002","2.38860705082462"
"Nitrogen","0.06749","0.678531769628722"
"Ammonia","0.586959999999999","0.34597140670103"
"Methylamine","-0.30621","0.444928991542134"
"Dimethylamine","-1.03087","0.474911734953293"
"Trimethylamine","-0.7442","0.634046825115147"
"Ethylamine","0.565919999999998","0.407111125547488"
"n-Propylamine","-0.127310000000001","0.421359224353624"
"Isopropylamine","0.64423","0.655986711259329"
"tert-Butylamine","0.84939","0.640757416003406"
"Aziridine","0.383839999999999","0.323052406545179"
"Pyrrole","1.75268","0.663106328311178"
"Pyridine","-0.00831999999999766","0.483462910395466"
"Pyridazine (1,2)","-1.43241","0.673245376394585"
"Pyrimidine (1,3)","2.39946999999999","0.402101604571006"
"Pyrazine (1,4)","-1.94722","0.723578329152115"
"Aniline","0.4208","0.393233540958702"
"Hydrogen cyanide","2.45108","0.685287564316467"
"Acetonitrile","0.25253","0.212920826089697"
"Methylisocyanide","-17.58719","8.888604522443"
"Propionitrile","-1.49487","0.306646301140103"
"Acrylonitrile","-1.28531","0.388311826560099"
"Fumaronitrile","0.828829999999996","1.06391658304779"
"Maleonitrile","-0.014009999999999","0.673988328789443"
"Dicyanoacetylene","-0.350790000000003","0.689894642705796"
"Cyanogen","-0.559960000000004","0.660163833765913"
"Benzonitrile","0.433930000000004","0.415489683631901"
"Hydrazine","0.16236","0.629376082799603"
"Methylhydrazine","-0.439629999999998","0.681727466988784"
"1,1-Dimethylhydrazine","0.484760000000001","0.58793034195119"
"1,2-Dimethylhydrazine","0.16667","0.728133308965091"
"trans-Azodiisopropane","-3.82599","5.78329610208968"
"Hydrogen azide","-0.00352000000000885","1.22696999956834"
"Ozone             ","-5.87743","1.78658887439429"
